id,protocol,number_of_qubits,interception_rate,noise,confidence,time_μs,is_considered_secure,key_length,eve_knowledge,measured_qber,final_key_qber
BB84_10_0.001_0_0.9999999999-0,BB84,10,0.001,0,0.9999999999,185,true,2,0,0,0
BB84_10_0.001_0_0.9999999999-1,BB84,10,0.001,0,0.9999999999,15,true,3,0,0,0
BB84_10_0.001_0_0.9999999999-2,BB84,10,0.001,0,0.9999999999,19,true,2,0,0,0
BB84_10_0.001_0_0.9999999999-3,BB84,10,0.001,0,0.9999999999,14,true,3,0,0,0
BB84_10_0.001_0_0.9999999999-4,BB84,10,0.001,0,0.9999999999,69,true,2,0,0,0
BB84_10_0.001_0_0.999999999-0,BB84,10,0.001,0,0.999999999,16,true,3,0,0,0
BB84_10_0.001_0_0.999999999-1,BB84,10,0.001,0,0.999999999,12,true,3,0,0,0
BB84_10_0.001_0_0.999999999-2,BB84,10,0.001,0,0.999999999,55,true,3,0,0,0
BB84_10_0.001_0_0.999999999-3,BB84,10,0.001,0,0.999999999,104,true,3,0,0,0
BB84_10_0.001_0_0.999999999-4,BB84,10,0.001,0,0.999999999,20,true,2,0,0,0
BB84_10_0.001_0.001_0.9999999999-0,BB84,10,0.001,0.001,0.9999999999,12,true,4,0,0,0
BB84_10_0.001_0.001_0.9999999999-1,BB84,10,0.001,0.001,0.9999999999,16,true,3,0,0,0
BB84_10_0.001_0.001_0.9999999999-2,BB84,10,0.001,0.001,0.9999999999,12,true,3,0,0,0
BB84_10_0.001_0.001_0.9999999999-3,BB84,10,0.001,0.001,0.9999999999,12,true,4,0,0,0
BB84_10_0.001_0.001_0.9999999999-4,BB84,10,0.001,0.001,0.9999999999,16,true,3,0,0,0
BB84_10_0.001_0.001_0.999999999-0,BB84,10,0.001,0.001,0.999999999,12,true,2,0,0,0
BB84_10_0.001_0.001_0.999999999-1,BB84,10,0.001,0.001,0.999999999,16,true,2,0,0,0
BB84_10_0.001_0.001_0.999999999-2,BB84,10,0.001,0.001,0.999999999,12,true,3,0,0,0
BB84_10_0.001_0.001_0.999999999-3,BB84,10,0.001,0.001,0.999999999,16,true,3,0,0,0
BB84_10_0.001_0.001_0.999999999-4,BB84,10,0.001,0.001,0.999999999,12,true,3,0,0,0
BB84_10_0.001_0.01_0.9999999999-0,BB84,10,0.001,0.01,0.9999999999,12,true,3,0,0,0
BB84_10_0.001_0.01_0.9999999999-1,BB84,10,0.001,0.01,0.9999999999,16,true,2,0,0,0
BB84_10_0.001_0.01_0.9999999999-2,BB84,10,0.001,0.01,0.9999999999,52,true,2,0,0,0
BB84_10_0.001_0.01_0.9999999999-3,BB84,10,0.001,0.01,0.9999999999,21,true,4,0,0,0
BB84_10_0.001_0.01_0.9999999999-4,BB84,10,0.001,0.01,0.9999999999,12,true,3,0,0,0
BB84_10_0.001_0.01_0.999999999-0,BB84,10,0.001,0.01,0.999999999,12,true,1,0,0,0
BB84_10_0.001_0.01_0.999999999-1,BB84,10,0.001,0.01,0.999999999,19,true,3,0,0,0
BB84_10_0.001_0.01_0.999999999-2,BB84,10,0.001,0.01,0.999999999,13,true,4,0,0,0
